WellID,Field,Operator,Depth_m,GammaRay_API,Resistivity_ohm_m,Density_gcc,NeutronPorosity_frac,Sonic_usft
WELL-006,Lower Zakum,ADNOC Offshore,1729.5,75.43838626845901,8.881851923096905,2.306882534517199,0.2292765094048613,93.42070998495409
WELL-001,Upper Zakum,ADNOC Offshore,1337.5,112.42040710375777,10.263617681186963,2.50800925107148,0.24095115915622367,69.24997381113296
WELL-006,Lower Zakum,ADNOC Offshore,1402.0,143.2191591063383,3.529156147949225,2.2217444221365357,0.24696914563408784,84.06121584678102
WELL-004,Bab,ADNOC Onshore,1479.5,49.51632848197988,42.85628176424528,2.442757100148362,0.2560796409310227,71.13150743251616
WELL-004,Bab,ADNOC Onshore,1742.0,108.76928541577851,14.893064974208412,2.4579514914733083,0.3119176691743772,85.65675512438027
WELL-005,Bu Hasa,ADNOC Offshore,1385.0,69.07317125767595,6.8409977341238,2.4231742678978545,0.30787620970691965,79.1763333021291
WELL-004,Bab,ADNOC Onshore,1268.5,109.00104573883662,26.98242342601619,2.321541873375023,0.16770836575152903,82.50008431705031
WELL-004,Bab,ADNOC Onshore,1573.5,97.86317876485501,10.457778999511016,2.2150480246763484,0.19768247159959038,86.69503373259438
WELL-002,SARB,ADNOC Onshore,1330.0,79.91528480770879,15.535337585608515,2.522862554410374,0.1743947192711492,91.94488465555656
WELL-001,Upper Zakum,ADNOC Offshore,1119.0,73.69999076065629,6.002254815109067,2.400921249480524,0.2288014318372401,78.901808419815
WELL-003,SARB,ADNOC Onshore,1299.5,68.49160724481749,40.05296642665662,2.2966709108464993,0.2605352023810296,82.1778407229724
WELL-001,Upper Zakum,ADNOC Offshore,1283.5,104.44318382366941,7.338847585235886,2.3653864812863876,0.23880873581987183,78.02845938995591
WELL-005,Bu Hasa,ADNOC Offshore,1502.0,61.7240540302917,14.920207736505624,2.4273886596748273,0.2686376194250388,67.54136949411256
WELL-004,Bab,ADNOC Onshore,1663.5,125.29726494359629,19.261262463968794,2.2850408553663226,0.2635168083740903,82.50634578169426
WELL-006,Lower Zakum,ADNOC Offshore,1334.5,79.6402292869818,17.82076519330875,2.398262174349865,0.3154727109853253,85.60555853085036
WELL-006,Lower Zakum,ADNOC Offshore,1003.0,86.45858205435368,31.28190206617007,2.4600719826904722,0.30866983782098145,77.99405181270566
WELL-006,Lower Zakum,ADNOC Offshore,1654.5,54.124263524963105,20.57296653292209,2.2700330188701408,0.23197534166705605,99.54349751221187
WELL-004,Bab,ADNOC Onshore,1318.0,82.4249136509185,28.13830701603861,2.3723234036738847,0.16771914206303068,71.61144141385738
WELL-002,SARB,ADNOC Onshore,1708.5,104.44492452523673,17.55600334735863,2.408403494480624,0.23380094766075718,82.00011980443372
WELL-002,SARB,ADNOC Onshore,1453.0,89.54495257627501,17.563663531424982,2.3133520657141258,0.1761268047692141,82.87922218251835
WELL-004,Bab,ADNOC Onshore,1328.0,88.116056676418,9.32711764918016,2.2963130912886878,0.22234516250618291,59.36803780403498
